month,pct_deficit,inflation_yoy
2017-06-01,0.1511758118701008,1.640565809959127
2017-07-01,0.2181962443797937,1.7251073506566073
2017-08-01,0.30305992765666245,1.92812155729698
2017-09-01,0.5882642512552919,2.1805652303711787
2017-10-01,0.711437290547245,2.020757753132485
2017-11-01,1.7893955636183723,2.172493864295566
2017-12-01,1.8368680835718632,2.129930719552253
2018-01-01,0.24746169802394555,2.151318868063945
2018-02-01,0.7837855739297463,2.263468931091861
2018-03-01,0.48670465337132,2.3309497646499366
2018-04-01,1.2363439246101242,2.4709963021052994
2018-05-01,0.4421945656088679,2.781921607842497
2018-06-01,0.3900843085441047,2.8075506935940187
2018-07-01,0.45045967362149103,2.854124785561929
2018-08-01,0.5013914763449021,2.6429238568742575
2018-09-01,0.5013149243918474,2.332055105808828
2018-10-01,0.9346853226080553,2.492032470218053
2018-11-01,0.2485713553545345,2.147328577667773
2018-12-01,0.410275251829399,2.0023809043401064
2019-01-01,0.5250693054765095,1.4875893578291333
2019-02-01,0.4946623747431211,1.5188615351321877
2019-03-01,0.736405161783351,1.8831863513063984
2019-04-01,0.43094447081158044,2.000583470209061
2019-05-01,0.5012447578152411,1.7959105553606136
2019-06-01,0.5858859545718458,1.671194894390049
2019-07-01,0.7842274992670771,1.826331335037068
2019-08-01,0.5177963334421795,1.7376412106666406
2019-09-01,0.4107430886379834,1.6844977040391562
2019-10-01,0.4529759666336194,1.7339736996186295
2019-11-01,0.4335539813416947,2.092290394862917
2019-12-01,0.4736973323360758,2.3195274699624457
2020-01-01,0.4854703208924391,2.599767976845202
2020-02-01,0.6492025336444827,2.3413166797595197
2020-03-01,0.2575910377759687,1.4940399642909163
2020-04-01,0.22714518585820795,0.3130472940411133
2020-05-01,0.3164747724395684,0.1982013035848551
2020-06-01,0.14590415450798713,0.7166562831830481
2020-07-01,0.27443407048163904,0.9968647625897997
2020-08-01,0.21887086618894852,1.2810698495523853
2020-09-01,0.31728857176277925,1.3910228912373812
2020-10-01,0.1956186961528323,1.2303863428671624
2020-11-01,0.26959327502759617,1.1757452138405844
2020-12-01,0.5538486416558862,1.3204191315779434
2021-01-01,0.26762756039112107,1.3553199782346148
2021-02-01,0.5720727541937981,1.667502410800381
2021-03-01,0.507628730356198,2.623645747764214
2021-04-01,0.460316064151054,4.137373453318349
2021-05-01,0.7608201545565472,4.9264665639830785
2021-06-01,0.5337343225870417,5.317418943207719
2021-07-01,0.7086508891563044,5.269167647240969
2021-08-01,1.0272090147038615,5.181323173271246
2021-09-01,2.220918538384177,5.363523425270289
2021-10-01,1.8104892022917585,6.226591220771449
2021-11-01,1.2489508141682055,6.865559520296194
2021-12-01,1.887128712871287,7.159457345112474
2022-01-01,0.6171747895593125,7.578082463000535
2022-02-01,0.8095337363630046,7.949220898953979
2022-03-01,0.7587468621917147,8.540780148538584
2022-04-01,1.000312597686777,8.235161744022502
2022-05-01,0.6951119044349856,8.530051713089225
2022-06-01,0.7375385681521937,8.999298141923106
2022-07-01,0.8963169521602143,8.447778206754553
2022-08-01,2.7413329483315585,8.216255059541266
2022-09-01,1.0895378981526804,8.205751582451759
2022-10-01,1.4100450328518346,7.757261470809462
2022-11-01,0.9532274191756471,7.131380368978291
2022-12-01,1.0196253124458634,6.410831677385809
